"","OR","po.","p1.","p.o","p.1","f00","f01","f10","f11","true r","r","true D'","D'","true Q","Q","true Y","Y","true HS","HS"
"1",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,94.2,0,95.3,0,92.2,0,94.2,0,95.8
"2",1,0.5,0.5,0.5,0.5,0.25,0.25,0.25,0.25,0,94.2,0,95.3,0,92.2,0,94.2,0,95.8
"3",1,0.587333879727506,0.412666120272494,0.5,0.5,0.293666939863753,0.293666939863753,0.206333060136247,0.206333060136247,2.25511293307845e-16,93.5,2.69036630361622e-16,94.2,4.58064211256537e-16,92.4,0,93.6,0,97.1
"4",1,0.6,0.4,0.4,0.6,0.24,0.36,0.16,0.24,0,94.5,0,95,0,93,-5.78241158658936e-17,94.8,-3.10179424794511e-21,98.9
"5",1,0.6,0.4,0.6,0.4,0.36,0.24,0.24,0.16,0,94.2,0,95,0,92.3,5.78241158658936e-17,94.7,0,98.5
"6",1,0.1,0.9,0.2,0.8,0.02,0.08,0.18,0.72,-2.89120579329468e-17,86.7,-1.73472347597681e-16,84.9,-1.20466908053945e-16,80.1,-5.78241158658936e-17,83.5,0,100
"7",2,0.571428571428571,0.428571428571429,0.428571428571429,0.571428571428571,0.285714285714286,0.285714285714286,0.142857142857143,0.285714285714286,0.166666666666667,93.8,0.222222222222222,92.3,0.333333333333333,92.2,0.17157287525381,94.3,0.138734684854279,90.6
"8",2,0.5,0.5,0.5,0.5,0.292893218813452,0.207106781186547,0.207106781186547,0.292893218813452,0.17157287525381,94.6,0.17157287525381,95.6,0.333333333333334,93.2,0.17157287525381,94.7,0.17157287525381,93.8
"9",2,0.654897368819341,0.345102631180659,0.442482894803224,0.557517105196776,0.327448684409671,0.327448684409671,0.115034210393553,0.230068420787106,0.159526253575339,94.3,0.246675211068735,91.3,0.333333333333333,92.9,0.17157287525381,95,0.090640012040323,86.9
"10",2,0.6,0.4,0.4,0.6,0.278889744907202,0.321110255092798,0.121110255092798,0.278889744907202,0.162040603780009,94.6,0.243060905670013,92.6,0.333333333333333,93.6,0.17157287525381,95.1,0.110223411045934,86.8
"11",2,0.6,0.4,0.6,0.4,0.4,0.2,0.2,0.2,0.166666666666666,94.7,0.166666666666666,96,0.333333333333333,93.1,0.17157287525381,94.6,0.109504629084079,83.7
"12",2,0.1,0.9,0.2,0.8,0.0315341561573509,0.0684658438426491,0.168465843842649,0.731534156157351,0.0961179679779241,92.6,0.144176951966886,94.5,0.333333333333333,89.3,0.171572875253809,93,4.81661278198372e-19,95.6
"13",5,0.625,0.375,0.375,0.625,0.3125,0.3125,0.0625,0.3125,0.333333333333333,95.4,0.555555555555556,92,0.666666666666667,92.1,0.381966011250105,95.7,0.281525548998107,70.7
"14",5,0.5,0.5,0.5,0.5,0.345491502812526,0.154508497187474,0.154508497187474,0.345491502812526,0.381966011250105,95.6,0.381966011250105,95.8,0.666666666666667,93.9,0.381966011250105,95.8,0.381966011250105,91.8
"15",5,0.703449847472629,0.296550152527371,0.401149949157543,0.598850050842457,0.351724923736314,0.351724923736314,0.0494250254212286,0.247125127106143,0.310621830677359,93.8,0.584527763205045,91.8,0.666666666666667,90.2,0.381966011250105,95,0.212709173112308,55.9
"16",4.99999999999999,0.6,0.4,0.4,0.6,0.323960135530193,0.276039864469807,0.0760398644698074,0.323960135530192,0.349833898042469,95.1,0.524750847063704,93.8,0.666666666666667,92.2,0.381966011250105,95.5,0.318587783015882,73.5
"17",4.99999999999999,0.6,0.4,0.6,0.4,0.45,0.15,0.15,0.25,0.375,93.8,0.375,94.6,0.666666666666666,93.1,0.381966011250105,94.2,0.304973037967785,68.1
"18",5,0.1,0.9,0.2,0.8,0.05,0.05,0.15,0.75,0.25,93.9,0.375,95.1,0.666666666666666,90.6,0.381966011250105,96.3,9.94408923407856e-09,39.8
"19",10,0.645161290322581,0.354838709677419,0.354838709677419,0.645161290322581,0.32258064516129,0.32258064516129,0.032258064516129,0.32258064516129,0.409090909090909,95.6,0.743801652892562,93.3,0.818181818181818,92.6,0.519493853295916,93.5,0.440679593491908,60.4
"20",10,0.5,0.5,0.5,0.5,0.379873463323979,0.120126536676021,0.120126536676021,0.379873463323979,0.519493853295916,94.3,0.519493853295916,94.5,0.818181818181818,93.5,0.519493853295916,95.2,0.519493853295916,90.6
"21",10,0.721274348989881,0.278725651010119,0.385975870041315,0.614024129958685,0.360637174494941,0.360637174494941,0.0253386955463744,0.253386955463744,0.376778180873961,93.9,0.764469496760614,92.4,0.818181818181819,91,0.519493853295916,90.1,0.379413126250017,49.9
"22",9.99999999999998,0.6,0.4,0.4,0.6,0.350676789837936,0.249323210162064,0.0493232101620643,0.350676789837936,0.461153290991399,94.9,0.691729936487098,93.5,0.818181818181818,92.4,0.519493853295915,96.4,0.489958938220723,74
"23",9.99999999999997,0.6,0.4,0.6,0.4,0.483064725597111,0.116935274402889,0.116935274402889,0.283064725597111,0.512769689987962,93.1,0.512769689987962,93.6,0.818181818181818,91.9,0.519493853295915,93.5,0.451006542868376,68.4
"24",9.99999999999999,0.1,0.9,0.2,0.8,0.0640251199682556,0.0359748800317444,0.135974880031744,0.764025119968256,0.366875999735463,94.4,0.550313999603195,93.1,0.818181818181818,90.3,0.519493853295915,95.7,4.63835862493664e-05,12.2
"25",20,0.655737704918033,0.344262295081967,0.344262295081967,0.655737704918033,0.327868852459016,0.327868852459016,0.0163934426229508,0.327868852459016,0.452380952380952,96.3,0.861678004535147,79.9,0.904761904761905,80.6,0.634512004736886,78.1,0.627091660877676,53.9
"26",20,0.5,0.5,0.5,0.5,0.408628001184222,0.0913719988157784,0.0913719988157784,0.408628001184222,0.634512004736886,93.9,0.634512004736886,92.1,0.904761904761905,92.8,0.634512004736886,93.5,0.634512004736886,90.6
"27",20,0.730529683610175,0.269470316389825,0.378096761633174,0.621903238366826,0.365264841805087,0.365264841805087,0.0128319198280869,0.256638396561738,0.413919438632922,94.8,0.874055923109843,70.9,0.904761904761904,71.9,0.634512004736886,70.7,0.585875126788594,40.5
"28",20,0.6,0.4,0.4,0.6,0.370185295008512,0.229814704991488,0.0298147049914876,0.370185295008512,0.542438729202135,95.3,0.813658093803202,92.9,0.904761904761905,90.8,0.634512004736886,92.7,0.650483344211782,72.5
"29",19.9999999999998,0.6,0.4,0.6,0.4,0.510885725265993,0.0891142747340072,0.0891142747340072,0.310885725265993,0.628690521941637,93.5,0.628690521941637,91.6,0.904761904761904,91.3,0.634512004736885,94.3,0.579656924091809,72.5
"30",20,0.1,0.9,0.2,0.8,0.076142808891188,0.023857191108812,0.123857191108812,0.776142808891188,0.4678567407599,94.3,0.70178511113985,88.6,0.904761904761905,88.3,0.634512004736886,90.7,0.00460608750703576,7.2
